Number	Accession	A's	G's	C's	T's	N's	Length	GC%
1	EU521893  	350	225	217	245	0	1052	42.6
2	EU521806  	368	260	234	265	0	1144	43.8
3	EU521894  	343	216	215	235	0	1024	42.7
4	EU521895  	351	228	220	244	0	1058	43.0
5	EU521896  	351	230	222	245	0	1063	43.1
6	EU521897  	355	230	221	245	0	1067	42.9
7	EU521937  	365	236	228	248	0	1093	43.1
8	EU521938  	346	224	218	241	0	1044	43.0
9	EU521939  	361	234	224	248	1	1084	42.9
10	EU521940  	368	238	228	249	0	1099	43.0
11	EU521986  	345	218	214	240	0	1032	42.5
12	EU605970  	345	222	217	241	0	1040	42.8
13	EU502138  	337	209	216	225	0	1002	43.1
14	EU502139  	343	202	215	227	0	1002	42.2
15	EU521927  	347	225	218	239	0	1044	43.1
16	EU521928  	347	225	218	238	0	1043	43.1
17	EU521929  	360	236	227	248	0	1087	43.2
18	EU521930  	351	227	224	241	0	1058	43.2
19	EU521931  	359	237	222	249	0	1083	43.0
20	EU521932  	361	233	224	246	0	1080	43.0
21	EU521933  	331	200	204	228	0	977	42.0
22	EU521934  	358	236	227	246	0	1083	43.4
23	EU521891  	350	230	221	244	0	1060	43.2
24	EU521892  	358	229	224	249	0	1076	42.7
25	EU521812  	370	255	239	263	0	1144	43.8
26	EU521813  	346	223	218	233	0	1035	43.2
27	EU521815  	368	257	238	264	0	1144	43.9
28	EU521829  	382	246	233	266	0	1144	42.5
29	EU521830  	372	234	232	252	0	1106	42.8
30	EU521839  	382	244	232	269	0	1144	42.2
31	EU521840  	373	235	228	257	0	1109	42.4
32	EU521970  	354	230	224	244	0	1068	43.2
33	EU521992  	335	200	207	228	0	984	42.0
34	EU521999  	350	227	220	244	0	1056	42.9
35	EU522000  	376	246	237	266	0	1142	42.9
36	EU522001  	373	241	231	263	0	1124	42.6
37	EU521983  	346	227	220	242	0	1050	43.2
38	EU521984  	277	166	183	198	0	836	42.4
39	EU521985  	340	208	218	231	0	1012	42.7
40	EU521898  	349	230	220	244	0	1058	43.1
41	EU521900  	359	232	228	255	0	1090	42.8
42	EU521906  	375	243	237	264	0	1135	42.9
43	EU521913  	381	244	241	265	0	1148	42.9
44	EU521914  	366	237	229	250	0	1098	43.1
45	EU521915  	375	248	234	257	0	1130	43.3
46	EU521916  	360	231	229	255	0	1091	42.8
47	EU521917  	345	224	220	243	0	1047	43.0
48	EU521918  	365	236	229	247	0	1093	43.2
49	EU521935  	345	225	219	239	0	1043	43.2
50	EU521936  	365	236	228	248	0	1093	43.1
51	EU521964  	367	237	231	249	0	1100	43.2
52	EU521998  	338	213	214	230	0	1010	42.9
53	EU521994  	374	248	238	265	0	1142	43.2
54	EU521995  	365	240	233	262	0	1116	43.0
55	EU521996  	369	236	228	250	0	1099	42.8
56	EU521997  	357	227	223	243	0	1065	42.9
57	AJ006954  	463	347	263	387	0	1481	41.8
58	AJ564805  	797	575	431	538	0	2375	43.0
59	AJ564807  	741	463	411	498	0	2144	41.4
60	AJ605762  	743	528	414	547	1	2265	42.2
61	AJ628066  	507	412	315	331	0	1588	46.5
62	EU502201  	342	202	216	227	0	1002	42.4
63	EU605964  	350	226	220	242	0	1053	43.0
64	EU521869  	383	247	240	268	0	1155	42.8
65	EU521883  	376	245	234	267	0	1139	42.7
66	EU605950  	386	252	234	266	0	1155	42.7
67	EU605955  	388	251	234	267	0	1157	42.5
68	EU605956  	385	250	232	267	0	1151	42.5
69	EU605957  	385	250	232	267	0	1151	42.5
70	EU521837  	368	225	228	250	0	1087	42.3
71	EU521910  	362	233	232	255	0	1098	43.0
72	EU522013  	360	232	229	255	0	1092	42.8
73	EU522014  	359	231	228	252	0	1086	42.9
74	EU605976  	359	227	225	243	0	1070	42.9
75	EU521866  	385	251	233	267	0	1153	42.6
76	EU605977  	353	227	224	244	0	1063	43.0
77	EU522015  	378	245	235	267	0	1142	42.7
78	EU521808  	385	251	233	267	0	1153	42.6
79	EU521809  	374	265	235	265	0	1156	43.9
80	EU521901  	359	235	232	253	0	1095	43.3
81	EU521954  	349	225	221	239	0	1049	43.1
82	EU521955  	350	222	212	241	0	1040	42.3
83	EU521875  	343	216	215	235	0	1024	42.7
84	EU521887  	362	237	230	260	0	1105	42.9
85	EU521888  	349	231	221	244	0	1060	43.3
86	EU521889  	376	244	236	264	0	1136	42.9
87	EU521890  	367	240	235	262	0	1120	43.0
88	EU521846  	322	209	201	226	0	972	42.8
89	EU521847  	344	202	211	222	0	993	42.2
90	EU521909  	357	231	227	249	0	1080	43.0
91	EU521941  	361	231	222	251	0	1081	42.5
92	EU521974  	355	228	224	244	0	1067	43.0
93	EU605971  	349	227	222	239	0	1052	43.3
94	EU521880  	357	236	227	256	0	1092	43.0
95	EU521905  	365	238	236	262	0	1117	43.1
96	EU521853  	376	245	232	264	0	1133	42.7
97	EU521858  	388	255	236	269	0	1165	42.8
98	EU521993  	361	234	232	259	0	1102	42.9
99	EU521857  	386	250	235	268	0	1156	42.6
100	EU521822  	373	259	236	268	0	1153	43.6
101	EU521823  	382	267	239	276	0	1181	43.5
102	EU521824  	373	241	230	256	0	1116	42.8
103	EU605962  	375	258	234	270	0	1154	43.3
104	EU521833  	378	258	235	268	0	1156	43.3
105	EU521848  	373	260	236	267	0	1153	43.7
106	EU521849  	379	263	235	270	0	1164	43.4
107	EU521958  	346	224	219	240	0	1044	43.1
108	EU521960  	360	234	224	247	0	1081	43.0
109	EU521961  	344	223	219	237	0	1038	43.2
110	EU521962  	346	223	217	240	0	1041	42.9
111	EU521963  	367	237	231	249	0	1100	43.2
112	EU521959  	360	235	225	248	0	1084	43.1
113	EU521842  	342	223	215	234	0	1029	43.2
114	EU521907  	369	233	237	257	0	1112	42.9
115	EU521965  	358	232	223	246	0	1075	43.0
116	EU521966  	346	223	220	238	0	1042	43.1
117	CY039909  	613	382	319	424	0	1763	40.3
118	CY039910  	294	247	214	234	0	1004	46.6
119	CY039910  	294	247	214	234	0	1004	46.6
120	CY039911  	463	333	249	376	0	1442	41.0
121	CY039912  	497	406	295	327	0	1547	46.0
122	CY039913  	266	205	165	212	0	861	43.6
123	CY039913  	266	205	165	212	0	861	43.6
124	CY039914  	740	512	387	539	1	2211	41.3
125	CY039915  	773	518	429	564	0	2317	41.5
126	CY039916  	792	578	413	523	1	2340	43.0
127	L24362    	610	382	320	426	0	1763	40.4
128	L24394    	508	410	299	333	0	1573	45.7
129	EU521979  	337	203	216	231	0	1002	42.5
130	EU521980  	331	193	209	224	0	971	42.0
131	EU521981  	346	224	219	239	0	1043	43.1
132	EU521982  	347	224	219	238	0	1043	43.1
133	EU521903  	319	192	212	226	0	963	42.6
134	EU521956  	373	243	236	258	0	1126	43.2
135	EU521975  	328	196	206	226	0	970	42.1
136	CY039893  	617	386	320	414	0	1762	40.6
137	CY039894  	287	256	208	236	0	1002	47.0
138	CY039894  	287	256	208	236	0	1002	47.0
139	CY039895  	453	329	263	369	0	1435	41.9
140	CY039896  	504	405	300	317	0	1548	46.2
141	CY039897  	272	201	169	209	0	864	43.5
142	CY039897  	272	201	169	209	0	864	43.5
143	CY039898  	716	536	434	511	0	2229	44.2
144	CY039899  	821	521	443	520	0	2338	41.8
145	CY039900  	770	591	433	494	0	2321	44.8
146	CY039901  	616	384	320	415	0	1760	40.6
147	CY039902  	287	256	208	236	0	1002	47.0
148	CY039902  	287	256	208	236	0	1002	47.0
149	CY039903  	452	330	262	368	0	1433	41.9
150	CY039904  	500	403	299	317	0	1541	46.2
151	CY039905  	268	201	168	209	0	859	43.6
152	CY039905  	268	201	168	209	0	859	43.6
153	CY039906  	713	535	432	509	0	2221	44.2
154	CY039907  	820	519	443	517	0	2332	41.8
155	CY039908  	774	590	433	498	0	2328	44.6
156	EU502324  	344	201	216	226	0	1002	42.2
157	EU502325  	340	205	219	223	0	1002	43.0
158	EU605963  	352	228	223	243	0	1061	43.1
159	EU521874  	364	230	227	257	0	1094	42.4
160	EU521876  	345	216	215	233	0	1024	42.7
161	EU605965  	358	227	223	242	0	1065	42.9
162	EU521877  	349	215	218	233	0	1030	42.7
163	EU521878  	378	244	238	265	0	1142	42.8
164	EU521884  	384	246	241	269	0	1157	42.7
165	EU521885  	385	246	242	268	0	1158	42.8
166	EU521886  	351	228	218	244	0	1056	42.8
167	EU521811  	388	251	234	266	0	1156	42.6
168	EU521814  	409	261	246	279	0	1213	42.4
169	EU521820  	378	259	238	264	0	1156	43.6
170	EU521838  	366	225	229	247	0	1083	42.5
171	EU521850  	369	230	229	251	0	1095	42.5
172	EU521851  	369	224	227	239	0	1075	42.6
173	EU521852  	388	250	236	265	0	1156	42.7
174	EU521904  	383	245	241	266	0	1152	42.8
175	EU521854  	369	221	227	245	0	1078	42.2
176	EU521912  	363	235	230	260	0	1104	42.7
177	EU605968  	348	228	221	240	0	1052	43.3
178	EU521942  	375	246	237	264	0	1139	43.0
179	EU521967  	356	230	222	244	0	1068	43.0
180	EU521987  	346	226	220	241	0	1048	43.2
181	EU521988  	336	195	208	225	0	978	41.8
182	EU521989  	347	225	220	242	0	1049	43.0
183	EU522002  	379	244	237	262	0	1139	42.9
184	EU522003  	364	235	231	258	0	1104	42.8
185	EU521860  	376	258	240	265	0	1156	43.7
186	EU522004  	382	246	240	267	0	1152	42.8
187	EU522005  	385	243	241	266	1	1153	42.6
188	EU521818  	384	250	234	268	0	1153	42.6
189	EU521819  	383	252	234	267	0	1153	42.8
190	EU521825  	385	246	230	269	0	1147	42.1
191	EU521832  	371	234	231	252	0	1104	42.7
192	EU605960  	385	250	233	269	0	1154	42.5
193	EU605961  	385	250	233	269	0	1154	42.5
194	EU521810  	387	250	233	266	0	1153	42.5
195	EU521817  	364	239	227	258	0	1104	42.8
196	EU521911  	383	245	243	265	0	1153	43.0
197	EU521952  	343	218	216	235	0	1027	42.9
198	EU521953  	381	245	242	264	0	1149	43.0
199	EU521976  	353	230	224	244	0	1067	43.2
200	EU521977  	350	224	222	242	0	1053	43.0
201	EU521978  	342	209	220	230	0	1016	42.9
202	EU521902  	356	225	213	242	0	1051	42.3
203	EU605967  	350	227	219	242	0	1053	43.0
204	EU605958  	383	251	233	267	0	1151	42.7
205	EU521841  	368	257	234	268	0	1144	43.6
206	EU521908  	349	222	221	237	0	1044	43.1
207	EU521921  	377	243	239	263	0	1139	43.0
208	EU521922  	359	236	226	247	0	1084	43.3
209	EU605969  	352	228	224	244	0	1063	43.1
210	EU521923  	346	225	219	243	0	1048	43.0
211	EU521924  	366	236	228	249	0	1095	43.0
212	EU521944  	350	229	223	242	0	1059	43.3
213	EU521945  	366	237	231	250	0	1100	43.2
214	EU521946  	348	225	219	246	0	1053	42.8
215	EU521947  	343	222	218	238	0	1036	43.1
216	EU521948  	359	227	220	242	0	1063	42.7
217	EU521949  	353	223	216	240	0	1047	42.5
218	EU521950  	337	216	209	236	0	1013	42.6
219	EU521951  	357	229	220	243	0	1064	42.8
220	EU521971  	345	207	220	229	0	1016	42.7
221	EU521972  	353	227	223	242	0	1060	43.1
222	CY030235  	371	254	237	269	0	1148	43.4
223	EU521899  	383	248	240	267	0	1155	42.9
224	EU605966  	352	230	221	242	0	1060	43.2
225	EU605949  	392	255	235	269	0	1168	42.6
226	EU521826  	375	254	238	265	0	1149	43.5
227	EU521827  	386	245	232	267	0	1147	42.2
228	EU521828  	390	254	235	269	0	1165	42.6
229	EU521843  	371	228	229	248	0	1092	42.5
230	EU521925  	342	220	217	237	0	1031	43.0
231	EU521926  	347	227	220	240	0	1049	43.2
232	EU521943  	362	237	227	251	0	1093	43.1
233	EU521957  	374	246	238	267	0	1142	43.0
234	EU521968  	348	228	222	244	0	1057	43.2
235	EU521969  	307	182	195	213	0	910	42.0
236	EU521990  	334	198	209	224	0	979	42.2
237	EU521855  	375	259	236	269	0	1156	43.5
238	EU521856  	373	261	234	270	0	1155	43.5
239	EU521991  	344	229	221	241	0	1050	43.5
240	EU521867  	349	215	217	234	0	1030	42.6
241	EU521868  	382	242	240	265	0	1146	42.7
242	EU521798  	358	248	231	251	0	1104	44.0
243	EU521799  	375	243	231	260	0	1125	42.7
244	EU521800  	361	246	233	253	0	1109	43.8
245	EU521801  	379	241	231	254	0	1121	42.7
246	EU521802  	373	235	230	253	0	1107	42.6
247	EU521803  	384	252	235	268	0	1156	42.8
248	EU521804  	386	250	235	265	0	1153	42.7
249	EU521805  	383	245	232	267	0	1144	42.3
250	EU521881  	387	246	244	268	0	1162	42.8
251	EU521882  	352	212	218	233	0	1030	42.4
252	EU605951  	390	254	235	268	0	1164	42.6
253	EU605952  	392	255	236	269	0	1169	42.6
254	EU521834  	369	236	229	257	1	1108	42.6
255	EU521835  	367	224	231	249	0	1087	42.5
256	EU521836  	372	236	232	253	0	1109	42.8
257	EU521844  	382	245	233	268	0	1145	42.4
258	EU521845  	385	245	234	267	0	1148	42.4
259	EU521919  	351	228	221	243	0	1058	43.0
260	EU521920  	364	235	228	247	0	1090	43.1
261	EU521973  	356	227	225	243	0	1067	43.0
262	EU605972  	308	187	196	217	0	921	42.2
263	EU605973  	335	202	209	225	0	985	42.3
264	EU605974  	352	226	222	242	0	1057	43.0
265	EU605975  	339	212	208	233	0	1007	42.3
266	EU521864  	359	238	225	256	0	1094	42.9
267	EU521865  	372	236	230	255	0	1109	42.6
268	EU522007  	382	246	242	268	0	1155	42.9
269	EU522008  	379	246	240	266	0	1148	43.0
270	EU522009  	380	246	241	267	0	1151	42.9
271	EU522010  	342	219	217	235	0	1028	43.0
272	EU522011  	343	223	218	240	0	1039	43.1
273	EU522012  	345	227	221	242	0	1050	43.3
274	EU522006  	365	238	227	248	0	1094	43.1
275	EU521861  	373	232	229	253	0	1103	42.4
276	EU521862  	394	254	234	266	1	1166	42.5
277	EU521863  	393	254	236	266	0	1166	42.6
278	EU502396  	343	200	219	225	0	1002	42.5
279	EU502397  	342	204	217	224	0	1002	42.7
280	EU521871  	363	235	227	262	0	1103	42.5
281	EU521872  	378	244	235	265	0	1139	42.7
282	EU521873  	356	229	220	246	0	1067	42.7
283	EU605953  	387	250	233	266	0	1153	42.5
284	EU521821  	386	249	232	267	0	1151	42.4
285	EU605954  	386	251	233	266	0	1153	42.6
286	EU521831  	370	255	240	262	0	1144	43.9
287	EU605959  	388	251	231	270	0	1157	42.3
288	EU521859  	382	248	232	265	0	1144	42.6
289	CS406467  	353	229	220	240	0	1057	43.1
290	AJ489861  	329	210	215	221	0	989	43.6
291	AJ489851  	433	338	276	360	0	1428	43.6
292	AJ489862  	329	210	215	221	0	989	43.6
293	AJ489859  	329	210	215	221	0	989	43.6
294	AJ489860  	329	210	214	222	0	989	43.5
295	CY021709  	620	393	335	403	0	1777	41.6
296	CY021710  	286	264	207	243	0	1015	47.1
297	CY021710  	286	264	207	243	0	1015	47.1
298	CY021711  	432	358	248	391	0	1450	42.4
